Country,Description,Temperature (K),Pressure (hPa),Humidity (%),Wind Speed (m/s)
Albania,broken clouds,297.28,1010,92,1.52
Andorra,broken clouds,271.97,1019,76,0.47
Austria,broken clouds,268.77,1020,83,2.02
Belarus,overcast clouds,269.18,1007,61,6.66
Belgium,moderate rain,280.2,1000,92,7.2
Bosnia and Herzegovina,overcast clouds,272.86,1017,97,1.07
Bulgaria,broken clouds,277.05,1013,81,1.54
Croatia,overcast clouds,278.18,1017,94,0.45
Cyprus,overcast clouds,277.58,1019,77,0.83
Czech Republic,overcast clouds,276.22,1014,73,3.91
Denmark,overcast clouds,278.35,1002,95,3.19
Estonia,overcast clouds,258.67,1021,72,4.36
Finland,clear sky,244.35,1031,97,0.76
France,light rain,282.76,1012,86,8.64
Germany,light snow,273.05,1021,97,3.88
Greece,overcast clouds,271.13,1021,81,2.57
Hungary,few clouds,272.49,1018,70,2.57
Iceland,overcast clouds,272.82,985,94,10.05
Ireland,broken clouds,281.87,985,89,7.64
Italy,overcast clouds,276.68,1016,93,0.89
Kosovo,broken clouds,279.85,1015,93,1.54
Latvia,overcast clouds,261.81,1016,54,4.14
Liechtenstein,overcast clouds,267.14,1009,89,3.31
Lithuania,overcast clouds,268.49,1012,57,5.69
Luxembourg,moderate rain,279.24,1004,93,6.69
Malta,few clouds,287.34,1019,88,2.06
Moldova,overcast clouds,277.98,1010,61,6.26
Monaco,clear sky,282.87,983,67,4.12
Montenegro,clear sky,300.01,1012,80,4.07
Netherlands,light rain,279.64,999,93,0.89
North Macedonia,overcast clouds,274.45,1016,82,1.05
Norway,clear sky,263.89,1016,62,15.43
Poland,overcast clouds,277.27,1008,89,4.85
Portugal,overcast clouds,279.71,1023,84,1.58
Romania,overcast clouds,277.97,1016,80,6.78
Russia,overcast clouds,273.5,1025,96,0.0
San Marino,mist,278.51,1015,90,1.03
Serbia,overcast clouds,276.58,1018,85,0.99
Slovakia,overcast clouds,272.07,1014,86,2.39
Slovenia,overcast clouds,274.58,1017,94,0.62
Spain,broken clouds,278.84,1025,87,1.28
Sweden,few clouds,267.68,1022,78,0.7
Switzerland,overcast clouds,266.7,1015,65,1.54
Ukraine,light rain,278.9,1004,85,5.8
United Kingdom,overcast clouds,279.72,980,92,4.79
Vatican City,clear sky,282.89,1016,83,1.03
